Precompiling packages...
    Hecke Being precompiled by another process (pid: 1863163, pidfile: /home/links/th703/.julia/compiled/v1.12/Hecke/lhBAK_WDZay.ji.pidfile)
  99622.1 ms  ✓ Hecke
  1 dependency successfully precompiled in 100 seconds. 40 already precompiled.
[ Info: 64_33: File for first layer exists [2, 4], 31622776601684; loading ...
[ Info: 64_33: layer 2/2, base field no. 1/304, constructing abelian extensions
[ Info: 64_33: layer 2/2, base field no. 1/304, checking fields: 45
[ Info: 64_33: layer 2/2, base field no. 1/304, 1/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 2/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 3/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 4/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 5/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 6/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 7/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 8/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 9/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 10/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 11/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 12/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 13/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 14/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 15/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 16/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 17/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 18/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 19/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 20/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 21/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 22/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 23/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 24/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 25/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 26/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 27/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 28/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 29/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 30/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 31/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 32/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 33/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 34/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 35/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 36/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 37/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 38/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 39/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 40/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 41/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 42/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 43/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 44/45
[ Info: 64_33: layer 2/2, base field no. 1/304, 45/45
[ Info: 64_33: layer 2/2, base field no. 2/304, constructing abelian extensions
[ Info: 64_33: layer 2/2, base field no. 2/304, checking fields: 68
[ Info: 64_33: layer 2/2, base field no. 2/304, 1/68
[ Info: 64_33: layer 2/2, base field no. 2/304, 2/68
[ Info: 64_33: layer 2/2, base field no. 2/304, 3/68
[ Info: 64_33: layer 2/2, base field no. 2/304, 4/68
[ Info: 64_33: layer 2/2, base field no. 2/304, 5/68
[ Info: 64_33: layer 2/2, base field no. 2/304, 6/68
